Function,Method,N4,N8,H4,H8,nmin,errmin
a,trapezoidal,768,65536,0.00260416666666667,3.0517578125e-05,98304,4.26887325488678e-09
a,midpoint,1024,98304,0.00194931773879142,2.03446381706101e-05,98304,8.53747472717714e-09
a,simpsons,34,320,0.0588235294117647,0.00625,3000,1.27897692436818e-12
a,adaptive,24,278,-,-,-,-
b,trapezoidal,12,1076,0.166666666666667,0.00185873605947955,3000,1.28600791127198e-09
b,midpoint,14,1520,0.125,0.00131406044678055,3000,2.56859022940148e-09
b,simpsons,2,22,1,0.0909090909090909,3000,2.22044604925031e-16
b,adaptive,2,16,-,-,-,-
